label,pixel0,pixel1,pixel2,pixel3
checkerboard,245,97,109,225
triangle,231,5,46,39
triangle,231,2,208,250
checkerboard,233,122,131,226
checkerboard,7,193,209,5
bright line,105,239,130,232
bright line,89,69,252,254
bright line,234,45,243,99
triangle,210,33,24,25
bright line,254,99,246,62
bright line,61,254,102,252
checkerboard,83,238,223,83
bright line,236,35,240,57
bright line,244,15,245,104
triangle,20,14,201,29
checkerboard,252,10,9,248
checkerboard,81,252,253,97
triangle,236,206,17,208
bright line,110,103,255,236
triangle,222,34,13,38
bright line,154,53,236,232
bright line,231,23,254,38
checkerboard,250,110,134,230
bright line,254,248,99,116
triangle,231,223,255,37
checkerboard,145,49,44,123
triangle,208,0,4,3
bright line,167,235,169,233
checkerboard,156,28,30,178
bright line,16,241,42,231
triangle,32,22,7,215
triangle,222,11,232,220
bright line,45,247,131,235
checkerboard,64,190,172,66
checkerboard,209,104,85,207
triangle,32,214,41,29
triangle,242,240,42,223
checkerboard,61,173,158,76
triangle,227,205,35,243
bright line,249,236,133,2
checkerboard,203,56,77,219
triangle,234,18,206,247
checkerboard,57,155,163,63
checkerboard,215,43,20,223
triangle,211,26,211,205
bright line,241,237,147,6
bright line,108,146,253,245
bright line,31,255,85,239
triangle,42,206,14,4
bright line,250,12,242,136
triangle,229,210,41,230
triangle,34,207,236,245
bright line,82,234,106,241
checkerboard,73,144,164,79
triangle,234,17,1,14
triangle,203,231,48,242
triangle,211,44,213,241
bright line,231,9,251,17
bright line,251,252,33,83
triangle,2,237,25,37
checkerboard,133,12,2,114
checkerboard,157,70,62,150
bright line,245,16,255,114
triangle,15,221,20,29
triangle,13,0,34,246
bright line,247,236,24,80
triangle,44,21,217,10
checkerboard,121,173,188,106
bright line,165,241,84,243
bright line,168,136,236,233
triangle,209,222,17,218
triangle,224,208,225,47
checkerboard,224,40,55,215
triangle,20,26,221,17
checkerboard,239,68,65,230
bright line,170,239,32,233
checkerboard,52,226,237,73
bright line,242,234,115,147
bright line,232,38,244,33
checkerboard,54,185,171,54
checkerboard,95,182,198,99
bright line,246,4,237,101
checkerboard,4,101,117,18
triangle,49,45,19,240
bright line,239,246,166,85
checkerboard,129,67,47,128
checkerboard,192,103,87,181
bright line,55,48,231,235
bright line,109,128,232,231
checkerboard,19,203,200,17
checkerboard,34,244,223,23
bright line,78,246,164,253
checkerboard,162,18,29,150
checkerboard,32,204,226,24
bright line,254,235,173,2
triangle,211,14,250,251
checkerboard,249,126,127,249
checkerboard,205,33,9,201
checkerboard,33,176,181,47
triangle,234,252,32,253
bright line,253,255,153,57
bright line,40,238,87,236
triangle,3,254,42,29
checkerboard,43,205,217,24
checkerboard,37,222,244,50
bright line,240,87,249,124
triangle,225,250,235,35
bright line,255,234,113,116
checkerboard,98,175,195,94
triangle,226,224,42,246
triangle,236,231,33,255
bright line,250,53,254,123
checkerboard,52,187,190,36
bright line,16,4,253,254
bright line,39,255,33,246
checkerboard,126,199,198,146
checkerboard,190,126,102,201
checkerboard,158,9,16,178
triangle,2,229,2,21
bright line,251,231,145,170
triangle,231,23,251,207
bright line,120,173,238,232
checkerboard,98,250,234,95
checkerboard,192,108,121,195
triangle,225,236,10,253
checkerboard,136,2,19,125
bright line,235,232,171,48
bright line,16,254,50,235
checkerboard,148,33,44,161
bright line,249,236,116,28
triangle,221,33,42,48
bright line,70,30,241,243
triangle,19,244,212,215
bright line,31,67,246,236
checkerboard,76,240,251,90
checkerboard,185,34,58,182
checkerboard,127,222,202,135
bright line,93,119,239,238
bright line,7,11,235,237
bright line,252,44,239,8
checkerboard,169,59,80,193
checkerboard,47,204,203,31
checkerboard,73,235,252,66
bright line,243,235,143,58
triangle,3,237,30,37
triangle,204,202,0,202
checkerboard,154,97,97,160
bright line,231,111,239,35
bright line,248,74,238,31
checkerboard,18,223,224,13
checkerboard,113,215,213,129
bright line,252,112,251,126
triangle,214,19,41,8
triangle,32,42,245,36
bright line,55,233,86,238
triangle,16,28,17,254
checkerboard,19,148,170,3
triangle,13,240,202,238
checkerboard,48,102,112,50
bright line,248,0,242,90
bright line,52,252,77,236
triangle,30,27,218,29
triangle,30,227,240,245
bright line,48,6,252,231
triangle,224,230,6,245
triangle,35,205,49,31
bright line,239,254,95,71
checkerboard,43,148,153,38
checkerboard,60,223,223,84
checkerboard,178,13,30,194
bright line,6,251,168,250
checkerboard,103,194,204,124
triangle,0,222,9,32
bright line,243,45,253,124
bright line,33,244,140,247
checkerboard,223,96,106,224
checkerboard,145,235,253,137
bright line,4,238,93,247
bright line,237,248,147,18
bright line,130,107,238,249
checkerboard,225,44,20,220
bright line,234,0,249,79
checkerboard,102,236,246,104
bright line,109,34,241,251
checkerboard,30,181,176,31
triangle,5,249,227,253
bright line,240,123,233,18
bright line,248,147,255,61
triangle,26,206,227,210
triangle,214,8,34,47
triangle,218,232,26,239
bright line,250,246,93,129
checkerboard,76,156,139,80
triangle,216,10,218,205
bright line,243,97,245,128
checkerboard,226,80,89,249
triangle,24,14,234,28
bright line,146,253,22,252
checkerboard,239,81,95,254
checkerboard,101,31,27,116
checkerboard,54,249,244,42
bright line,28,247,46,248
bright line,251,244,82,156
triangle,22,48,19,210
bright line,236,241,172,2
checkerboard,163,82,64,183
triangle,12,39,209,0
triangle,26,202,238,248
triangle,251,43,239,229
bright line,245,3,233,59
checkerboard,12,151,150,18
triangle,215,40,1,10
checkerboard,134,8,16,119
triangle,1,30,5,218
triangle,201,18,17,47
triangle,42,224,220,229
checkerboard,250,94,97,227
triangle,231,11,4,44
triangle,44,229,250,254
checkerboard,31,212,214,55
bright line,249,84,235,35
triangle,19,19,28,235
bright line,237,238,16,28
bright line,97,89,250,236
bright line,36,50,231,255
bright line,238,169,251,36
checkerboard,223,18,4,215
triangle,241,39,231,234
checkerboard,85,216,237,91
checkerboard,40,117,136,47
bright line,25,107,236,239
checkerboard,192,118,124,207
triangle,205,205,238,41
bright line,29,116,234,248
checkerboard,115,191,171,108
checkerboard,131,190,201,136
triangle,210,22,235,227
checkerboard,84,1,25,77
checkerboard,129,197,201,110
bright line,150,14,236,246
bright line,139,241,115,231
checkerboard,202,15,10,203
checkerboard,78,17,17,95
bright line,84,113,235,239
bright line,249,250,110,76
triangle,212,7,5,20
bright line,240,133,244,53
bright line,242,245,129,148
checkerboard,153,79,69,173
bright line,80,172,235,249
triangle,43,221,220,253
bright line,22,237,106,235
triangle,0,23,15,255
triangle,209,48,33,20
bright line,88,123,255,237
triangle,5,11,32,227
bright line,139,5,234,253
bright line,241,162,255,10
triangle,32,30,235,19
bright line,244,157,237,83
bright line,243,242,130,86
checkerboard,195,19,32,217
checkerboard,108,237,231,113
checkerboard,240,88,89,217
checkerboard,133,0,9,109
triangle,16,49,26,206
bright line,77,38,231,252
bright line,94,121,238,241
checkerboard,30,89,88,11
bright line,17,154,247,251
bright line,46,149,243,253
bright line,253,236,157,122
bright line,237,233,160,111
checkerboard,156,72,85,175
bright line,236,145,238,42
triangle,213,243,241,7
bright line,89,239,97,234
checkerboard,134,17,4,143
triangle,4,10,49,216
triangle,239,30,42,49
checkerboard,230,52,37,253
triangle,12,22,206,33
triangle,17,49,204,1
triangle,237,255,243,44
bright line,237,88,243,56
checkerboard,124,199,206,105
bright line,245,252,91,43
bright line,53,241,98,234
checkerboard,31,182,190,17
bright line,252,247,165,166
bright line,249,244,56,21
triangle,10,212,215,253
triangle,18,34,5,221
checkerboard,99,21,30,106
triangle,229,224,34,211
triangle,11,35,22,206
checkerboard,9,233,229,15
triangle,207,219,250,18
checkerboard,70,177,189,89
checkerboard,229,85,75,240
checkerboard,224,139,148,239
checkerboard,19,143,121,1
triangle,201,251,207,27
bright line,249,255,141,40
checkerboard,188,60,46,175
checkerboard,182,57,49,196
bright line,243,153,241,33
checkerboard,226,164,173,245
triangle,41,18,49,235
triangle,239,0,25,13
bright line,240,246,30,147
checkerboard,109,20,34,103
checkerboard,183,58,60,167
triangle,206,238,27,237
checkerboard,123,221,240,127
bright line,131,234,107,254
bright line,163,253,54,254
bright line,235,235,12,149
checkerboard,158,88,83,164
bright line,232,108,233,126
checkerboard,153,63,57,152
checkerboard,116,15,12,140
bright line,171,243,143,252
triangle,21,233,203,236
bright line,64,169,239,234
checkerboard,141,215,229,118
triangle,217,46,243,247
triangle,47,255,227,205
bright line,41,137,235,246
bright line,27,240,160,250
checkerboard,133,44,32,119
triangle,3,31,38,230
checkerboard,238,22,36,241
bright line,82,232,145,245
triangle,12,49,220,1
checkerboard,133,31,39,145
bright line,246,114,253,45
triangle,232,34,208,201
checkerboard,68,158,151,60
bright line,78,233,126,238
checkerboard,87,230,209,107
bright line,133,231,174,236
bright line,239,235,127,135
bright line,163,243,127,235
bright line,91,239,96,240
checkerboard,14,202,214,29
checkerboard,214,107,91,226
triangle,247,254,47,218
bright line,120,248,157,251
checkerboard,225,43,66,205
triangle,254,7,240,240
checkerboard,34,109,88,11
bright line,18,255,25,244
triangle,7,253,215,209
triangle,226,213,31,201
checkerboard,136,16,19,128
triangle,220,232,234,27
checkerboard,56,170,173,54
triangle,204,40,23,9
checkerboard,49,159,160,50
triangle,235,222,47,251
checkerboard,228,98,91,215
bright line,52,252,168,232
triangle,206,236,236,0
checkerboard,7,132,113,30
checkerboard,212,113,92,220
bright line,235,231,120,127
checkerboard,211,6,16,210
bright line,241,94,239,144
checkerboard,248,115,124,241
bright line,242,241,39,116
checkerboard,167,225,236,157
checkerboard,7,197,193,25
bright line,12,232,158,238
checkerboard,162,37,21,138
triangle,27,217,210,214
checkerboard,124,5,26,119
bright line,60,240,19,251
triangle,231,254,255,30
triangle,210,34,15,11
checkerboard,160,229,233,178
checkerboard,82,228,219,82
triangle,224,48,39,26
checkerboard,248,149,136,247
checkerboard,125,241,251,125
bright line,35,251,48,246
triangle,13,226,211,234
triangle,249,226,14,247
checkerboard,128,73,61,128
bright line,56,110,234,231
checkerboard,65,163,181,89
bright line,78,61,235,241
bright line,52,109,243,246
bright line,43,244,110,239
bright line,41,65,251,243
bright line,255,238,23,128
bright line,250,77,252,88
triangle,235,232,37,222
bright line,67,96,243,249
triangle,240,202,247,45
checkerboard,136,252,254,114
bright line,3,70,248,239
checkerboard,191,105,114,192
bright line,98,236,135,249
checkerboard,202,77,77,213
checkerboard,250,95,87,247
bright line,39,171,246,238
bright line,241,95,234,113
bright line,249,241,16,121
triangle,222,44,226,204
bright line,241,162,231,61
checkerboard,87,251,241,95
checkerboard,55,173,189,41
triangle,239,222,245,12
bright line,248,242,159,95
bright line,239,242,152,121
bright line,74,70,240,244
checkerboard,105,198,189,111
checkerboard,95,220,205,71
triangle,0,1,208,17
checkerboard,159,28,45,175
checkerboard,147,227,220,161
bright line,240,235,159,52
triangle,2,241,250,221
checkerboard,64,220,197,42
triangle,1,220,44,6
bright line,106,232,115,234
triangle,203,250,34,236
triangle,46,217,229,251
checkerboard,70,185,195,76
checkerboard,146,223,235,135
checkerboard,67,224,237,88
checkerboard,244,159,151,242
bright line,131,252,48,251
checkerboard,18,156,151,41
checkerboard,173,81,75,161
triangle,210,215,43,224
bright line,242,254,153,138
checkerboard,85,17,3,81
checkerboard,156,59,38,160
bright line,121,254,70,240
bright line,117,241,119,231
bright line,252,231,27,113
bright line,8,241,104,238
checkerboard,4,214,208,24
checkerboard,38,211,201,19
checkerboard,213,69,82,230
bright line,112,171,233,235
triangle,49,208,202,236
triangle,19,2,16,248
checkerboard,144,37,59,131
triangle,38,231,232,205
triangle,11,247,43,2
bright line,37,91,236,236
triangle,238,15,210,251
bright line,232,119,233,162
triangle,237,13,2,8
triangle,5,226,245,243
bright line,247,236,151,95
triangle,26,37,205,33
checkerboard,165,72,93,164
triangle,223,246,203,46
checkerboard,216,56,67,193
bright line,236,20,249,171
checkerboard,110,202,193,96
triangle,215,253,239,16
bright line,167,239,83,240
bright line,238,41,234,163
bright line,234,32,248,51
checkerboard,128,22,9,144
checkerboard,85,192,177,90
triangle,44,6,236,9
bright line,57,171,242,249
checkerboard,41,135,151,29
bright line,103,240,138,234
bright line,233,234,10,135
bright line,38,47,240,231
bright line,250,233,92,15
triangle,3,16,210,45
checkerboard,19,180,181,6
checkerboard,23,101,123,37
bright line,71,238,124,234
bright line,253,249,86,120
checkerboard,76,219,199,100
bright line,251,244,60,142
triangle,0,49,18,234
checkerboard,10,213,234,22
checkerboard,20,135,141,4
triangle,49,7,209,0
triangle,240,248,243,14
bright line,13,2,245,234
bright line,255,248,103,15
bright line,84,233,160,236
bright line,89,234,47,236
bright line,21,249,56,249
bright line,136,160,238,239
triangle,244,29,3,47
checkerboard,135,246,227,124
checkerboard,55,147,136,74
checkerboard,78,168,160,92
bright line,236,252,131,116
checkerboard,52,202,220,43
checkerboard,108,20,13,102
triangle,240,35,235,243
checkerboard,56,160,157,64
checkerboard,175,22,11,178
bright line,242,146,235,132
checkerboard,243,86,104,219
bright line,242,243,86,134
triangle,223,245,13,211
triangle,221,254,201,42
triangle,205,1,218,228
triangle,254,244,249,26
bright line,90,236,99,248
triangle,202,214,208,38
checkerboard,30,131,118,11
checkerboard,111,181,179,113
triangle,19,231,14,8
triangle,29,30,235,6
triangle,16,201,226,229
bright line,138,54,249,244
bright line,238,232,89,84
checkerboard,254,152,166,241
bright line,239,253,53,30
checkerboard,15,142,144,19
checkerboard,214,139,126,210
checkerboard,55,168,162,31
bright line,240,24,241,51
bright line,255,251,29,59
triangle,205,26,229,221
triangle,10,19,233,42
checkerboard,87,166,142,82
bright line,253,48,253,87
bright line,18,247,58,235
triangle,39,222,8,2
bright line,90,125,253,245
bright line,110,243,110,242
bright line,234,49,252,74
bright line,240,19,241,158
bright line,170,146,245,250
checkerboard,147,75,71,168
triangle,211,214,252,11
bright line,28,248,54,239
checkerboard,69,204,220,46
checkerboard,34,209,202,52
checkerboard,84,149,147,84
triangle,28,22,46,243
triangle,6,220,251,237
checkerboard,81,154,159,62
checkerboard,188,125,125,178
bright line,67,9,238,233
checkerboard,218,106,130,216
checkerboard,17,88,97,3
checkerboard,58,195,181,73
checkerboard,229,110,119,230
checkerboard,103,181,157,100
triangle,0,217,230,231
bright line,252,142,249,122
bright line,238,241,81,38
triangle,242,28,204,216
triangle,48,202,253,252
triangle,2,234,49,4
checkerboard,228,109,117,207
triangle,216,251,37,212
checkerboard,37,232,244,51
checkerboard,251,172,148,238
triangle,10,24,31,205
bright line,92,19,255,248
bright line,247,247,20,55
bright line,253,9,243,173
bright line,234,43,231,79
checkerboard,28,146,127,22
bright line,122,46,234,246
bright line,144,99,238,250
triangle,4,19,49,206
triangle,20,47,8,233
checkerboard,24,139,160,31
checkerboard,184,122,133,191
triangle,213,215,234,42
bright line,239,252,146,85
triangle,219,48,231,210
checkerboard,249,184,188,253
triangle,19,243,236,248
checkerboard,72,207,194,88
triangle,233,239,218,29
triangle,48,219,19,10
bright line,255,156,242,163
checkerboard,216,123,145,220
checkerboard,251,33,19,251
triangle,31,235,16,8
bright line,241,237,120,30
triangle,40,204,224,237
triangle,11,20,220,23
checkerboard,238,3,7,253
triangle,20,217,238,215
checkerboard,251,63,68,252
checkerboard,94,215,208,90
bright line,236,238,90,51
triangle,5,229,249,244
bright line,7,244,150,241
triangle,33,206,243,246
checkerboard,211,16,4,225
checkerboard,31,237,221,35
bright line,232,87,253,162
bright line,246,247,102,76
triangle,22,19,40,255
triangle,28,37,217,29
bright line,30,12,242,231
bright line,231,32,248,166
triangle,241,44,38,31
bright line,39,76,248,248
triangle,2,224,248,203
triangle,229,36,3,15
checkerboard,39,208,215,42
checkerboard,19,85,98,13
triangle,32,38,236,41
bright line,248,163,248,93
checkerboard,220,106,104,200
checkerboard,93,193,206,92
bright line,56,99,254,253
bright line,118,174,254,241
bright line,238,243,64,127
checkerboard,183,93,105,161
bright line,18,91,255,245
bright line,250,245,5,133
checkerboard,238,15,39,216
checkerboard,33,143,124,42
checkerboard,100,235,230,97
bright line,174,253,156,236
checkerboard,30,166,161,49
triangle,251,231,244,5
bright line,66,250,146,243
checkerboard,17,148,144,26
checkerboard,208,80,100,201
bright line,70,68,247,253
bright line,236,136,253,115
triangle,32,39,12,251
checkerboard,147,251,236,157
triangle,241,247,245,21
checkerboard,174,23,1,155
triangle,8,216,230,202
checkerboard,230,43,66,221
bright line,63,238,137,239
triangle,211,222,4,229
checkerboard,255,53,76,231
triangle,6,229,202,202
triangle,9,226,249,209
bright line,249,250,68,38
checkerboard,207,87,66,222
checkerboard,235,151,172,232
bright line,73,236,93,241
triangle,1,18,6,251
checkerboard,197,58,45,182
checkerboard,176,74,62,195
triangle,241,5,206,205
triangle,10,0,14,217
bright line,8,150,251,248
bright line,113,22,234,234
triangle,250,17,249,234
triangle,215,208,250,48
bright line,56,10,252,237
triangle,253,217,31,223
checkerboard,26,99,106,7
triangle,210,46,26,4
checkerboard,16,185,179,3
bright line,237,236,88,73
bright line,239,67,252,48
bright line,243,249,124,42
checkerboard,140,19,16,124
checkerboard,29,197,210,16
triangle,38,22,28,226
checkerboard,32,112,105,10
triangle,12,9,37,243
checkerboard,247,95,78,234
checkerboard,5,109,125,7
bright line,88,142,253,235
checkerboard,193,71,73,196
bright line,104,248,111,243
bright line,254,235,23,148
checkerboard,143,195,211,141
checkerboard,29,122,136,28
bright line,46,237,0,248
triangle,19,225,220,222
checkerboard,230,43,25,213
triangle,25,16,14,202
triangle,28,249,9,13
bright line,247,35,249,169
checkerboard,73,164,161,83
checkerboard,53,166,190,65
triangle,228,247,9,242
checkerboard,51,224,230,75
triangle,251,6,29,25
triangle,47,228,14,4
bright line,158,233,37,243
bright line,235,232,140,65
bright line,26,247,57,241
bright line,239,169,252,47
checkerboard,126,3,2,136
bright line,233,237,72,18
checkerboard,177,1,25,167
bright line,236,118,241,81
checkerboard,196,41,56,198
bright line,118,160,249,248
triangle,34,205,205,227
bright line,60,235,135,252
bright line,231,150,252,108
triangle,212,225,249,8
triangle,19,210,253,240
checkerboard,41,224,220,64
bright line,246,252,91,108
bright line,113,247,22,248
bright line,255,77,255,81
checkerboard,104,166,170,81
checkerboard,101,229,250,117
triangle,220,47,217,222
checkerboard,14,216,212,6
checkerboard,107,183,204,106
triangle,0,236,235,204
checkerboard,72,192,188,66
triangle,209,1,227,213
bright line,237,239,110,44
bright line,248,234,111,79
triangle,230,204,7,250
triangle,210,22,17,30
bright line,162,12,233,234
checkerboard,124,25,32,100
triangle,249,46,19,27
checkerboard,84,161,161,81
checkerboard,2,101,105,16
triangle,227,214,49,211
bright line,101,104,253,247
bright line,29,163,254,239
checkerboard,38,111,121,59
triangle,214,246,49,214
triangle,3,210,208,249
triangle,231,20,238,255
bright line,11,233,61,235
triangle,238,239,215,16
triangle,5,19,232,32
checkerboard,8,157,167,5
bright line,253,115,240,162
triangle,230,217,1,205
checkerboard,11,106,116,4
triangle,9,20,223,11
bright line,43,252,161,250
bright line,125,237,86,252
checkerboard,58,129,136,61
bright line,151,240,7,242
triangle,249,35,242,245
checkerboard,17,230,241,6
bright line,36,157,231,254
bright line,85,231,89,253
bright line,235,232,138,174
bright line,247,92,255,79
triangle,26,248,207,204
bright line,248,12,238,18
triangle,230,203,219,3
checkerboard,90,161,143,71
triangle,40,221,207,206
bright line,13,2,250,239
triangle,18,209,253,202
checkerboard,136,17,7,155
triangle,252,30,234,222
bright line,172,68,241,253
triangle,217,251,1,233
bright line,237,244,117,115
triangle,225,246,23,234
bright line,2,94,239,241
checkerboard,60,223,199,67
triangle,243,38,2,7
triangle,220,241,225,26
bright line,241,245,157,22
triangle,209,209,239,46
bright line,60,41,238,252
checkerboard,170,226,246,154
triangle,10,222,204,216
bright line,250,78,233,74
bright line,94,172,235,232
bright line,232,9,240,58
bright line,116,61,231,254
bright line,245,159,236,98
triangle,201,221,10,228
checkerboard,192,77,79,198
bright line,252,71,240,157
triangle,9,7,36,210
bright line,250,252,18,143
triangle,32,204,210,237
checkerboard,24,208,225,42
bright line,231,148,253,36
bright line,252,47,233,110
triangle,48,234,202,243
checkerboard,22,246,232,13
checkerboard,32,188,212,40
triangle,12,2,215,49
triangle,37,240,209,203
bright line,231,150,247,62
triangle,11,216,32,28
bright line,95,125,239,235
bright line,76,61,232,249
checkerboard,42,189,209,66
triangle,247,225,26,234
checkerboard,133,30,43,114
triangle,253,219,46,255
bright line,245,243,3,3
checkerboard,58,128,145,48
bright line,63,99,243,254
checkerboard,6,83,102,25
bright line,33,159,238,252
checkerboard,70,145,141,89
triangle,34,237,0,28
checkerboard,114,251,238,116
bright line,100,154,233,247
bright line,242,137,248,118
bright line,115,64,251,233
triangle,201,251,22,220
bright line,248,239,167,173
checkerboard,23,131,114,11
checkerboard,170,234,238,165
checkerboard,51,145,137,52
bright line,166,123,242,232
checkerboard,233,36,51,214
checkerboard,68,182,175,83
triangle,14,37,1,236
checkerboard,33,96,117,32
bright line,139,57,241,253
bright line,152,10,248,232
checkerboard,93,222,242,70
checkerboard,157,31,34,171
triangle,37,13,47,221
triangle,23,215,12,6
checkerboard,208,68,56,223
checkerboard,17,96,103,33
bright line,232,65,247,131
triangle,215,2,206,207
bright line,253,3,250,165
checkerboard,143,68,78,143
triangle,10,33,234,43
bright line,97,231,137,249
checkerboard,196,79,77,208
bright line,255,70,251,0
triangle,244,222,215,11
bright line,109,39,246,240
bright line,130,62,243,251
bright line,1,76,255,240
checkerboard,162,87,91,153
bright line,245,239,51,79
bright line,251,248,104,130
checkerboard,102,5,27,94
checkerboard,49,131,148,56
triangle,214,255,37,255
checkerboard,124,255,231,124
bright line,90,34,245,255
checkerboard,30,251,243,48
checkerboard,197,14,9,217
bright line,26,115,244,236
checkerboard,112,177,174,121
triangle,2,0,26,211
bright line,65,255,135,240
bright line,250,113,242,111
triangle,202,229,31,210
checkerboard,131,14,2,139
triangle,22,45,245,49
checkerboard,171,54,34,149
checkerboard,206,28,37,202
bright line,249,244,58,105
triangle,19,2,44,246
checkerboard,209,45,46,209
checkerboard,184,14,6,180
checkerboard,70,165,181,66
checkerboard,38,214,191,21
bright line,249,4,238,34
bright line,233,53,249,31
triangle,35,212,241,213
bright line,248,247,6,84
triangle,36,42,22,214
bright line,116,35,253,254
triangle,249,33,218,248
bright line,87,232,35,234
bright line,85,241,129,233
checkerboard,90,167,183,104
checkerboard,141,36,21,154
checkerboard,186,105,88,165
checkerboard,223,67,74,230
bright line,28,253,1,240
bright line,126,252,19,254
bright line,231,167,241,96
bright line,54,253,102,243
bright line,148,157,240,233
checkerboard,167,67,82,171
checkerboard,137,56,37,119
checkerboard,141,249,226,140
checkerboard,53,128,141,32
bright line,80,243,100,252
triangle,35,206,41,38
bright line,242,142,231,43
bright line,24,237,10,242
triangle,211,19,11,49
bright line,240,243,162,14
triangle,15,251,221,245
checkerboard,45,222,198,66
checkerboard,246,128,127,236
checkerboard,33,249,250,53
checkerboard,134,212,225,127
bright line,238,109,240,7
checkerboard,6,96,102,25
bright line,113,244,35,253
bright line,250,132,255,34
bright line,248,24,234,143
bright line,254,251,64,143
checkerboard,131,226,215,152
bright line,235,234,120,167
bright line,30,249,88,249
checkerboard,72,144,150,59
checkerboard,235,12,28,241
checkerboard,95,231,246,75
triangle,242,22,18,20
checkerboard,43,234,252,34
checkerboard,60,141,127,45
bright line,246,233,142,85
checkerboard,169,250,246,175
checkerboard,203,118,114,198
triangle,244,240,220,8
bright line,245,255,10,54
triangle,213,208,242,47
checkerboard,177,108,93,164
checkerboard,192,100,77,173
bright line,30,254,154,237
checkerboard,212,135,120,223
bright line,98,29,236,233
triangle,236,208,47,236
triangle,25,214,46,1
triangle,6,222,225,248
bright line,249,252,97,77
triangle,29,40,223,46
checkerboard,34,179,160,24
bright line,231,235,106,25
triangle,41,237,38,28
bright line,241,31,234,36
bright line,0,86,244,248
bright line,17,105,246,246
checkerboard,119,12,36,130
triangle,33,216,47,22
bright line,254,12,246,106
triangle,7,255,10,18
bright line,238,148,250,106
checkerboard,156,16,22,159
bright line,156,251,8,252
triangle,246,20,47,19
checkerboard,87,231,252,86
triangle,249,7,40,49
bright line,153,244,119,234
triangle,11,45,49,205
checkerboard,193,8,1,209
triangle,16,230,4,39
checkerboard,94,187,184,101
bright line,245,0,249,115
checkerboard,160,17,15,153
triangle,213,226,13,231
checkerboard,234,146,150,224
checkerboard,228,8,3,250
bright line,239,234,169,138
bright line,249,251,40,19
checkerboard,41,122,120,40
bright line,116,254,70,248
bright line,248,87,252,125
triangle,217,253,212,21
bright line,88,239,56,239
checkerboard,180,5,24,173
checkerboard,48,214,234,34
checkerboard,159,20,2,148
bright line,143,53,237,255
triangle,31,6,232,15
checkerboard,159,220,237,164
bright line,239,96,231,150
checkerboard,232,105,81,217
checkerboard,187,126,125,191
triangle,224,15,239,235
checkerboard,4,165,184,1
checkerboard,184,118,122,189
bright line,105,240,132,253
bright line,250,75,251,0
bright line,35,41,239,237
triangle,39,48,4,210
checkerboard,27,197,211,32
checkerboard,19,139,134,12
triangle,235,228,28,219
triangle,242,238,8,209
checkerboard,50,159,139,36
triangle,218,29,202,212
bright line,93,237,139,246
bright line,110,239,158,232
checkerboard,144,57,70,121
bright line,247,103,244,75
checkerboard,101,3,9,109
triangle,204,214,254,11
triangle,226,20,206,238
triangle,240,1,15,8
checkerboard,75,154,153,83
checkerboard,142,224,221,140
checkerboard,136,193,192,120
bright line,254,252,58,8
triangle,8,37,26,215
bright line,249,133,250,51
checkerboard,224,36,33,209
triangle,206,203,9,225
checkerboard,12,199,191,27
checkerboard,195,59,57,210
checkerboard,73,206,207,60
bright line,254,251,93,103
checkerboard,211,52,62,234
checkerboard,22,180,204,23
checkerboard,5,121,132,20
checkerboard,58,175,180,50
checkerboard,135,219,227,111
triangle,30,33,247,36
checkerboard,246,77,71,245
triangle,21,225,47,6
bright line,248,108,238,74
checkerboard,33,144,121,10
bright line,231,234,36,115
bright line,105,248,131,251
bright line,249,15,238,173
checkerboard,254,44,43,239
checkerboard,155,13,9,162
triangle,219,242,9,253
bright line,57,142,245,233
triangle,202,216,40,228
checkerboard,150,7,6,130
triangle,17,233,240,249
triangle,229,205,231,18
bright line,25,236,155,250
checkerboard,99,205,185,106
triangle,234,224,25,222
bright line,242,0,239,85
checkerboard,62,185,171,53
bright line,251,239,49,58
bright line,254,239,31,128
triangle,0,223,203,251
triangle,250,205,205,4
bright line,248,83,231,149
triangle,253,248,8,241
bright line,246,77,237,5
checkerboard,214,76,72,217
bright line,252,232,57,120
triangle,39,224,254,231
bright line,32,79,233,248
bright line,144,249,65,245
triangle,253,214,253,48
bright line,247,165,235,27
triangle,8,220,4,15
triangle,214,49,238,201
triangle,18,26,18,211
bright line,234,244,104,74
triangle,36,9,22,235
triangle,34,5,220,32
bright line,67,237,130,232
bright line,232,236,71,77
triangle,46,219,11,12
checkerboard,17,175,175,18
triangle,244,30,207,227
checkerboard,171,36,12,158
checkerboard,174,52,42,167
checkerboard,64,253,233,78
checkerboard,238,107,110,254
checkerboard,187,41,65,199
checkerboard,233,119,117,254
checkerboard,206,51,44,185
triangle,226,37,203,218
checkerboard,226,87,98,242
checkerboard,245,165,183,248
bright line,234,245,20,132
checkerboard,225,59,63,207
bright line,150,242,166,238
checkerboard,71,180,176,89
checkerboard,30,162,158,45
checkerboard,173,76,55,156
bright line,60,255,52,233
bright line,160,63,234,251
triangle,16,19,10,230
checkerboard,56,170,184,62
bright line,83,73,244,240
bright line,241,12,238,150
bright line,41,233,155,232
checkerboard,192,70,49,170
triangle,48,242,222,244
checkerboard,19,167,149,26
checkerboard,229,100,103,251
checkerboard,233,58,78,212
checkerboard,138,206,226,132
bright line,57,255,93,241
triangle,17,249,204,249
triangle,12,236,228,240
checkerboard,234,37,36,254
bright line,52,19,244,255
bright line,240,46,238,174
triangle,237,20,28,7
checkerboard,150,90,92,168
checkerboard,19,218,220,1
bright line,237,241,35,129
